iter	Passed	Remaining
1005	22846	11219
1006	22871	11197
1007	22896	11175
1008	22919	11153
1009	22941	11130
1010	22967	11109
1011	22990	11086
1012	23014	11064
1013	23037	11041
1014	23061	11019
1015	23083	10996
1016	23106	10973
1017	23130	10951
1018	23155	10930
1019	23176	10906
1020	23198	10883
1021	23222	10861
1022	23245	10838
1023	23270	10817
1024	23294	10794
1025	23318	10772
1026	23341	10750
1027	23362	10726
1028	23384	10703
1029	23404	10679
1030	23428	10657
1031	23454	10636
1032	23480	10614
1033	23505	10593
1034	23528	10570
1035	23548	10546
1036	23569	10523
1037	23590	10499
1038	23609	10475
1039	23631	10452
1040	23653	10429
1041	23675	10406
1042	23699	10384
1043	23724	10362
1044	23749	10340
1045	23772	10318
1046	23792	10294
1047	23815	10271
1048	23835	10247
1049	23858	10225
1050	23882	10202
1051	23903	10179
1052	23926	10156
1053	23950	10134
1054	23973	10111
1055	23996	10089
1056	24020	10067
1057	24043	10044
1058	24065	10021
1059	24088	9998
1060	24110	9975
1061	24134	9953
1062	24153	9929
1063	24179	9907
1064	24203	9886
1065	24226	9863
1066	24251	9841
1067	24275	9819
1068	24296	9795
1069	24317	9772
1070	24340	9749
1071	24365	9728
1072	24386	9704
1073	24406	9680
1074	24429	9658
1075	24448	9634
1076	24470	9610
1077	24493	9588
1078	24518	9566
1079	24541	9543
1080	24565	9521
1081	24586	9498
1082	24609	9475
1083	24631	9452
1084	24653	9429
1085	24678	9407
1086	24700	9384
1087	24724	9362
1088	24745	9339
1089	24770	9317
1090	24792	9294
1091	24817	9272
1092	24842	9250
1093	24865	9227
1094	24890	9206
1095	24911	9182
1096	24935	9160
1097	24958	9137
1098	24983	9115
1099	25009	9094
1100	25033	9072
1101	25051	9047
1102	25072	9024
1103	25094	9001
1104	25118	8979
1105	25142	8956
1106	25165	8934
1107	25187	8911
1108	25211	8888
1109	25236	8866
1110	25260	8844
1111	25284	8822
1112	25309	8800
1113	25332	8777
1114	25357	8755
1115	25380	8733
1116	25403	8710
1117	25424	8687
1118	25446	8664
1119	25466	8640
1120	25491	8618
1121	25514	8595
1122	25536	8572
1123	25560	8550
1124	25583	8527
1125	25606	8505
1126	25629	8482
1127	25653	8460
1128	25674	8436
1129	25695	8413
1130	25716	8390
1131	25735	8366
1132	25758	8343
1133	25780	8320
1134	25799	8296
1135	25822	8274
1136	25846	8251
1137	25869	8229
1138	25894	8207
1139	25918	8184
1140	25942	8162
1141	25969	8140
1142	25992	8118
1143	26013	8095
1144	26038	8073
1145	26062	8050
1146	26081	8026
1147	26104	8004
1148	26124	7980
1149	26147	7958
1150	26172	7935
1151	26195	7913
1152	26223	7892
1153	26247	7869
1154	26271	7847
1155	26297	7825
1156	26320	7802
1157	26341	7779
1158	26364	7756
1159	26385	7733
1160	26406	7710
1161	26431	7688
1162	26453	7665
1163	26476	7642
1164	26498	7619
1165	26524	7598
1166	26546	7574
1167	26570	7552
1168	26594	7530
1169	26618	7507
1170	26643	7485
1171	26664	7462
1172	26688	7439
1173	26713	7417
1174	26736	7395
1175	26759	7372
1176	26783	7350
1177	26808	7327
1178	26830	7305
1179	26852	7281
1180	26876	7259
1181	26898	7236
1182	26922	7214
1183	26947	7192
1184	26969	7169
1185	26992	7146
1186	27016	7123
1187	27037	7100
1188	27061	7078
1189	27083	7055
1190	27107	7032
1191	27129	7010
1192	27151	6986
1193	27174	6964
1194	27197	6941
1195	27227	6920
1196	27250	6898
1197	27276	6876
1198	27298	6853
1199	27321	6830
1200	27344	6807
1201	27362	6783
1202	27385	6761
1203	27408	6738
1204	27429	6715
1205	27452	6692
1206	27476	6669
1207	27496	6646
1208	27521	6624
1209	27544	6601
1210	27564	6578
1211	27589	6556
1212	27614	6533
1213	27638	6511
1214	27661	6488
1215	27684	6465
1216	27710	6443
1217	27734	6421
1218	27758	6398
1219	27781	6376
1220	27806	6353
1221	27829	6331
1222	27853	6308
1223	27872	6285
1224	27896	6262
1225	27920	6239
1226	27943	6217
1227	27967	6194
1228	27990	6172
1229	28011	6148
1230	28035	6126
1231	28060	6104
1232	28085	6081
1233	28109	6059
1234	28131	6036
1235	28153	6013
1236	28175	5990
1237	28199	5968
1238	28224	5945
1239	28247	5922
1240	28272	5900
1241	28297	5878
1242	28318	5855
1243	28340	5832
1244	28367	5810
1245	28392	5787
1246	28413	5764
1247	28439	5742
1248	28462	5719
1249	28484	5696
1250	28508	5674
1251	28528	5651
1252	28551	5628
1253	28572	5605
1254	28596	5582
1255	28618	5559
1256	28639	5536
1257	28664	5514
1258	28690	5491
1259	28713	5469
1260	28735	5446
1261	28759	5423
1262	28782	5401
1263	28805	5378
1264	28827	5355
1265	28850	5332
1266	28874	5310
1267	28897	5287
1268	28917	5263
1269	28942	5241
1270	28967	5219
1271	28990	5196
1272	29015	5173
1273	29035	5150
1274	29060	5128
1275	29084	5105
1276	29108	5083
1277	29130	5060
1278	29153	5037
1279	29175	5014
1280	29197	4991
1281	29220	4968
1282	29244	4946
1283	29267	4923
1284	29289	4900
1285	29314	4878
1286	29338	4855
1287	29363	4833
1288	29385	4810
1289	29406	4787
1290	29430	4764
1291	29456	4742
1292	29480	4719
1293	29506	4697
1294	29527	4674
1295	29551	4651
1296	29573	4628
1297	29597	4606
